,bowhead_whale_cds,fruit_fly_cds,house_mouse_cds,human_cds,naked_mole_rat_cds,round_worm_cds
-,1,0,0,0,0,0
ATP6,0,1,1,1,0,1
ATP8,0,1,1,1,0,0
COX1,0,1,1,1,0,1
COX2,0,1,1,1,0,1
COX3,0,1,1,1,0,1
CYTB,0,1,1,1,0,1
ND1,0,1,1,1,0,1
ND2,0,1,1,1,0,1
ND3,0,1,1,1,0,1
ND4,0,1,1,1,0,1
ND4L,0,1,1,1,0,1
ND5,0,1,1,1,0,1
ND6,0,1,1,1,0,1
accD,0,0,0,0,1,0
atpA,1,0,0,0,1,0
atpB,1,0,0,0,1,0
atpE,1,0,0,0,1,0
atpF,0,0,0,0,1,0
atpH,1,0,0,0,1,0
atpI,1,0,0,0,1,0
ccsA,1,0,0,0,1,0
cemA,1,0,0,0,1,0
clpP,1,0,0,0,1,0
infA,1,0,0,0,1,0
matK,0,0,0,0,1,0
ndhA,1,0,0,0,1,0
ndhB,0,0,0,0,1,0
ndhC,1,0,0,0,1,0
ndhD,1,0,0,0,1,0
ndhE,1,0,0,0,1,0
ndhF,1,0,0,0,1,0
ndhG,1,0,0,0,1,0
ndhH,1,0,0,0,1,0
ndhI,1,0,0,0,1,0
ndhJ,1,0,0,0,1,0
ndhK,1,0,0,0,1,0
petA,1,0,0,0,1,0
petB,1,0,0,0,1,0
petD,1,0,0,0,1,0
petG,1,0,0,0,1,0
petL,0,0,0,0,1,0
petN,1,0,0,0,1,0
psaA,1,0,0,0,1,0
psaB,1,0,0,0,1,0
psaC,1,0,0,0,1,0
psaI,1,0,0,0,1,0
psaJ,1,0,0,0,1,0
psbA,1,0,0,0,1,0
psbB,1,0,0,0,1,0
psbC,0,0,0,0,1,0
psbD,1,0,0,0,1,0
psbE,1,0,0,0,1,0
psbF,1,0,0,0,1,0
psbH,1,0,0,0,1,0
psbI,1,0,0,0,1,0
psbJ,1,0,0,0,1,0
psbK,1,0,0,0,1,0
psbL,1,0,0,0,1,0
psbM,1,0,0,0,1,0
psbN,1,0,0,0,1,0
psbT,1,0,0,0,1,0
psbZ,1,0,0,0,1,0
rbcL,1,0,0,0,1,0
rpl14,1,0,0,0,1,0
rpl16,1,0,0,0,1,0
rpl2,1,0,0,0,1,0
rpl20,1,0,0,0,1,0
rpl22,1,0,0,0,1,0
rpl23,1,0,0,0,1,0
rpl32,1,0,0,0,1,0
rpl33,1,0,0,0,1,0
rpl36,1,0,0,0,1,0
rpoA,1,0,0,0,1,0
rpoB,1,0,0,0,1,0
rpoC1,1,0,0,0,1,0
rpoC2,1,0,0,0,1,0
rps11,1,0,0,0,1,0
rps12,1,0,0,0,1,0
rps14,1,0,0,0,1,0
rps15,1,0,0,0,1,0
rps16,1,0,0,0,1,0
rps18,1,0,0,0,1,0
rps19,1,0,0,0,1,0
rps2,1,0,0,0,1,0
rps3,1,0,0,0,1,0
rps4,1,0,0,0,1,0
rps7,1,0,0,0,1,0
rps8,1,0,0,0,1,0
ycf1,0,0,0,0,1,0
ycf15,0,0,0,0,1,0
ycf2,0,0,0,0,1,0
ycf3,0,0,0,0,1,0
ycf4,1,0,0,0,1,0
