Species,Length,A_Count,T_Count,G_Count,C_Count,AT_Content(%),GC_Content(%),AT_Skew,GC_Skew
bowhead_whale,16391,5362,4275,2154,4600,58.79,41.21,0.1128,-0.3622
fruit_fly,19517,8152,7883,1479,2003,82.16,17.84,0.0168,-0.1505
house_mouse,16301,5631,4679,2013,3978,63.25,36.75,0.0923,-0.328
human,16571,5124,4094,2169,5181,55.63,44.35,0.1117,-0.4098
naked_mole_rat,16386,5522,4106,2180,4578,58.76,41.24,0.1471,-0.3548
round_worm,13794,4335,6179,2055,1225,76.22,23.78,-0.1754,0.253
