Species,rpl14,rpl16,rps3,rpl22,rps19,unknown,rpl23,rps7,rps15,ndhF,rpl32,ccsA,ndhD,psaC,ndhE,ndhG,ndhI,ndhA,ndhH,rps12,rpl2,psbA,rps16,psbK,psbI,psbD,psbZ,psbM,petN,rpoB,rpoC1,rpoC2,rps2,atpI,atpH,atpA,rps14,psaB,psaA,rps4,ndhJ,ndhK,ndhC,atpE,atpB,rbcL,psaI,ycf4,cemA,petA,psbJ,psbL,psbF,psbE,petG,psaJ,rpl33,rps18,rpl20,clpP,psbB,psbT,psbN,psbH,petB,petD,rpoA,rps11,rpl36,infA,rps8,ND2,COX1,COX2,ATP8,ATP6,COX3,ND3,ND5,ND4,ND4L,ND6,CYTB,ND1,matK,atpF,psbC,ycf3,accD,petL,ycf2,ycf15,ndhB,ycf1
bowhead_whale,372.0,411.0,675.0,447.0,282.0,225.0,282.0,471.0,237.0,2217.0,180.0,966.0,1503.0,246.0,306.0,531.0,543.0,1089.0,1182.0,375.0,822.0,1062.0,258.0,186.0,111.0,1062.0,189.0,105.0,90.0,3228.0,2052.0,4605.0,711.0,744.0,246.0,1524.0,312.0,2205.0,2253.0,606.0,480.0,684.0,363.0,414.0,1497.0,1431.0,111.0,558.0,693.0,963.0,123.0,117.0,120.0,252.0,114.0,129.0,201.0,492.0,360.0,651.0,1527.0,102.0,132.0,222.0,705.0,483.0,1020.0,432.0,114.0,324.0,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fruit_fly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1024.0,1536.0,685.0,162.0,675.0,789.0,354.0,1717.0,1339.0,291.0,525.0,1137.0,939.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
house_mouse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1038.0,1545.0,684.0,204.0,681.0,784.0,348.0,1824.0,1378.0,297.0,519.0,1144.0,957.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
human,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1042.0,1542.0,684.0,207.0,681.0,784.0,346.0,1812.0,1378.0,297.0,525.0,1141.0,956.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
naked_mole_rat,369.0,408.0,657.0,474.0,279.0,0.0,282.0,468.0,273.0,2256.0,162.0,966.0,1503.0,246.0,306.0,531.0,504.0,1092.0,1182.0,372.0,825.0,1062.0,264.0,186.0,165.0,1062.0,189.0,105.0,96.0,3213.0,2061.0,4161.0,711.0,744.0,246.0,1524.0,303.0,2205.0,2253.0,606.0,477.0,678.0,363.0,402.0,1497.0,1428.0,111.0,555.0,690.0,963.0,123.0,117.0,120.0,252.0,114.0,135.0,201.0,306.0,354.0,588.0,1527.0,117.0,132.0,222.0,663.0,534.0,1011.0,417.0,114.0,234.0,405.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1512.0,555.0,1422.0,507.0,1539.0,96.0,6861.0,249.0,1533.0,5637.0
round_worm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,849.0,1578.0,696.0,0.0,600.0,768.0,336.0,1584.0,1230.0,234.0,435.0,1113.0,876.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
